Tamanho;Cenario;Algoritmo;Dado;Media;DesvioPadrao;Minimo;Maximo;Mediana;CV;IC95_Superior;IC95_Inferior
1000;Reverso;QuickSortRandomizado;TEMPO;256030.00;146453.39;203500.00;1019300.00;222900.00;57.20;308437.67;203622.33
1000;Reverso;QuickSortRandomizado;MEM_AUX;404.67;40.23;340.00;520.00;400.00;9.94;419.06;390.27
1000;Reverso;HeapSort;COMPARACOES;15965.00;0.00;15965.00;15965.00;15965.00;0.00;15965.00;15965.00
1000;Reverso;HeapSort;TROCAS;8316.00;0.00;8316.00;8316.00;8316.00;0.00;8316.00;8316.00
1000;Reverso;HeapSort;ACESSOS;65194.00;0.00;65194.00;65194.00;65194.00;0.00;65194.00;65194.00
1000;Reverso;HeapSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;Reverso;HeapSort;TEMPO;407526.67;12699.01;391500.00;452600.00;403000.00;3.12;412070.95;402982.39
1000;Reverso;HeapSort;MEM_AUX;144.00;0.00;144.00;144.00;144.00;0.00;144.00;144.00
1000;Reverso;ShellSort;COMPARACOES;7013.00;0.00;7013.00;7013.00;7013.00;0.00;7013.00;7013.00
1000;Reverso;ShellSort;TROCAS;9377.00;0.00;9377.00;9377.00;9377.00;0.00;9377.00;9377.00
1000;Reverso;ShellSort;ACESSOS;25767.00;0.00;25767.00;25767.00;25767.00;0.00;25767.00;25767.00
1000;Reverso;ShellSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;Reverso;ShellSort;TEMPO;200736.67;5957.93;197200.00;226400.00;197950.00;2.97;202868.68;198604.65
1000;Reverso;ShellSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;ParcialmenteOrdenado;BubbleSort;COMPARACOES;497108.07;2091.31;492360.00;499200.00;497932.00;0.42;497856.43;496359.70
1000;ParcialmenteOrdenado;BubbleSort;TROCAS;99624.07;4713.54;90645.00;107793.00;99153.00;4.73;101310.78;97937.35
1000;ParcialmenteOrdenado;BubbleSort;ACESSOS;1392712.40;19225.20;1358292.00;1425564.00;1392680.00;1.38;1399592.05;1385832.75
